"Prov","mun","stlmtsz8","stlmtsz5","H_SETTLEMENT","H_URBRURAL","E_RESPINT","F_INTPRIVACY","E1_LITERACY","gov_trst","dem_equ","dem_imp","dem_mil_reg","eth_death","eth_poldeath_sex","eth_sex_rel","Q106","Q107","Q108","Q109","Q110","Q112","Q120","Q143","Q158","Q159","Q160","Q161","Q162","Q177","Q178","Q179","Q180","Q181","Q182","Q183","Q184","Q185","Q186","Q187","Q188","Q189","Q190","Q191","Q192","Q193","Q194","Q195","Q234","Q240","Q241","Q242","Q243","Q244","Q245","Q246","Q247","Q248","Q249","Q250","Q251","Q252","Q286","Q287","Q288","Q288R","Q291G2","Q291G3","Q291G4","Q291G5","Q291G6","Q291P1","Q291P2","Q291P3","Q291P4","Q291P5","Q291P6","Q292A","Q292B","Q292C","Q292D","Q292E","Q292F","Q292G","Q292H","Q292I","Q292J","Q292K","Q292L","Q292M","Q292N","Q292O","Q293","Q35","Q36","Q39","Q40","Q41","Q47","Q48","Q49","Q50","Q143p","Q234p","Q287p","Q47p","ML1","ML3","ML2","ML4","ML5","ML6"
608162,608047,4,2,1,1,1,2,1,1.52696233067953,-1.75752535235554,-0.844449691835328,-0.93830555564922,1.71087053899088,1.10119250856549,1.71569477283676,3,9,8,5,5,9,7,1,4,4,5,4,4,7,7,7,7,6,8,8,7,8,8,7,8,7,8,8,7,6,6,6,1,7,7,7,3,3,4,4,3,4,3,5,6,7,2,3,5,2,2,3,3,4,4,3,3,3,3,3,4,4,4,4,4,4,4,5,5,4,4,3,3,4,3,3,9,4,2,3,1,2,2,9,5,4,4,4,3,3,1.68897331356052,-1.56349606859829,1.55106915475227,1.23858705569788,1.32224134060413,0.758278142788215
608162,608047,4,2,1,1,1,2,1,0.852455003253693,1.16482560992396,1.39980777556532,1.05495292717,-0.72662776268173,-1.23078504087112,1.07961800364457,9,9,2,2,9,10,9,2,10,10,10,10,1,9,9,1,1,1,9,9,1,9,2,2,1,1,1,1,1,1,1,1,3,6,2,2,9,9,9,9,9,9,9,10,10,10,1,3,6,2,3,3,3,3,3,3,3,2,3,3,3,4,4,4,3,3,3,3,4,4,4,3,3,3,2,2,10,4,2,4,2,2,3,10,10,10,3,2,3,2,-0.542800275304737,0.940805368484007,1.09792299043343,0.733256647104061,0.539118257971322,-1.45011255832377
608162,608047,4,2,1,1,1,2,1,0.444643252580249,0.632476162962194,0.448504679140817,-0.565781259341563,0.160719701469868,-0.452896532278905,-0.228583244317346,8,2,2,2,2,8,8,1,4,4,3,8,2,2,8,7,3,2,4,4,3,3,3,3,8,2,8,3,4,3,3,3,2,8,8,3,8,8,3,8,8,8,9,7,8,6,1,3,6,2,3,3,3,3,3,3,2,2,3,4,2,2,4,2,3,3,4,3,2,3,3,3,3,3,4,3,10,3,2,3,2,2,2,5,4,6,4,3,3,3,-0.0472892243911832,0.4290833597048,0.551943526682142,0.0110120779248793,0.0769227652216416,-0.0106552780339661
608162,608047,4,2,1,1,-5,2,-5,0.481861474840851,-0.847365793317424,-0.889717622687795,-1.03427762797965,0.986667788344464,0.0822137021608897,1.38868653315172,4,8,7,9,8,7,8,2,9,9,9,9,9,4,4,4,4,4,4,7,7,7,7,7,7,3,3,4,3,3,5,7,1,8,4,4,4,6,4,4,4,7,7,6,5,9,2,3,4,2,3,3,2,3,3,2,2,3,3,3,3,2,2,3,3,3,4,4,3,3,4,4,4,3,3,3,6,4,2,2,1,2,2,10,9,4,3,4,3,3,0.871354617426489,-0.845874046849481,0.57142447627263,-0.134913750409813,0.765112668820643,-0.207311856205879
608162,608047,4,2,1,1,1,1,1,1.70980854710695,1.26740674234551,1.5356653415311,1.28885962637558,-0.31795463119418,-0.840566405896553,-0.769053144900664,9,9,1,2,1,10,10,3,1,10,10,1,1,10,9,2,1,1,5,2,1,1,1,1,10,1,1,1,1,1,1,9,1,10,10,10,10,9,8,8,8,9,10,10,10,3,2,4,5,2,4,4,2,4,4,4,2,2,4,4,4,1,1,1,2,4,4,2,2,4,2,2,4,4,4,4,10,4,5,2,1,2,2,10,10,10,2,4,2,3,-0.425780963644776,1.60735420900789,1.91462982479821,-1.68652442051575,0.849735564844374,-1.29695483802596
608162,608047,4,2,1,1,1,1,1,0.586632873209384,-0.714704660137544,0.371593080677456,-0.481222757580593,2.67369684342603,1.87241093300947,2.22249120502658,5,5,5,5,10,5,5,2,5,5,3,10,5,1,5,10,10,10,10,10,10,10,1,10,10,10,10,10,10,1,10,10,2,3,5,5,5,5,5,5,5,5,5,10,8,10,2,3,5,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,4,4,1,2,2,2,10,10,6,3,3,3,3,2.55710879208613,-0.729609004552064,0.612257519719173,-0.255755069353455,0.267536757871671,2.24213598507558
608162,608047,4,2,1,1,1,1,1,0.70864619585572,1.74801321562358,0.776707628451085,2.05910416841294,-1.03164168716624,-1.27934209323031,0.0591119212062042,1,10,9,2,3,10,5,2,6,5,5,5,5,1,1,1,1,1,8,7,1,1,1,1,1,1,1,1,1,1,1,1,1,4,10,10,10,10,10,10,10,10,10,8,8,7,1,1,7,2,3,3,3,3,3,2,3,3,3,3,3,4,4,3,3,3,4,4,4,4,4,3,3,3,3,3,10,4,4,4,1,1,2,10,10,10,3,4,5,3,-0.977651707858865,1.85406332305823,0.793033964980674,0.821416022073622,0.653216948727358,-1.08873382186705
608162,608047,4,2,1,1,1,2,1,0.398885561223956,0.679073218929369,0.702592025775196,0.331125236400049,0.0428962146846669,0.0514303798675317,0.750708802721891,10,10,1,3,1,10,7,2,8,8,7,7,8,7,5,6,5,4,5,5,5,5,4,6,3,2,4,1,3,6,6,2,1,8,8,7,9,7,6,8,7,6,9,10,8,6,4,4,2,1,4,4,1,1,3,3,3,3,3,3,3,2,2,2,2,4,2,2,4,3,2,2,4,4,2,2,10,3,3,2,3,1,3,10,5,3,3,4,2,2,0.238528360419938,0.67783566212418,0.530313534197915,-1.64220476530047,0.517548456961699,0.379980964369229
608162,608047,4,2,1,1,1,2,1,-0.277440952970723,0.681930223992701,-0.0643298393100737,0.567409244375908,-0.0112232015793745,0.699192731760996,0.585424005645154,8,8,9,6,5,6,8,2,8,8,6,5,1,8,5,4,5,4,9,5,1,6,5,4,3,3,7,6,7,4,5,6,1,7,8,6,6,6,8,8,7,8,10,9,6,6,2,3,6,2,3,3,1,2,2,2,3,3,2,2,3,2,4,3,3,2,4,4,3,3,3,4,3,3,3,4,9,2,2,2,1,1,3,6,10,8,3,4,3,2,0.346603955055818,0.697386170561049,-0.315921384722189,0.19407700587886,0.0940874556584756,0.14463116179466
608162,608047,4,2,1,1,1,1,1,0.625670282238825,-0.442763249266978,-0.551764937097639,0.546631887694482,-1.04639299556132,-1.11846969128619,-1.27492322059539,1,2,3,5,7,7,5,1,10,9,2,10,5,9,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,5,1,9,7,4,8,9,9,5,5,5,5,10,5,2,2,3,5,2,4,3,2,3,3,3,3,3,3,3,3,2,5,2,2,4,4,3,4,2,2,4,4,3,4,4,10,3,3,1,2,2,1,5,10,10,4,4,3,4,-1.22818969940677,-0.200433721708982,0.703806090581055,-0.110626931558618,0.0445624707998023,-1.06759968072428
