Prov,mun,stlmtsz8,stlmtsz5,H_SETTLEMENT,H_URBRURAL,E_RESPINT,F_INTPRIVACY,E1_LITERACY,gov_trst,dem_equ,dem_imp,dem_mil_reg,eth_death,eth_poldeath_sex,eth_sex_rel,Q106,Q107,Q108,Q109,Q110,Q112,Q120,Q143,Q158,Q159,Q160,Q161,Q162,Q177,Q178,Q179,Q180,Q181,Q182,Q183
608162,608061,5,3,1,1,1,1,1,0.586632873,0.729722003,0.552574717,1.041318922,-0.735463185,-1.373263892,-1.079659942,8,8,9,3,3,8,8,1,8,8,8,8,8,3,3,3,2,2,2,2
608162,608061,5,3,1,1,1,2,1,-0.458467983,1.156600836,1.244455418,-0.728127418,0.345124684,2.242907619,0.119010414,9,10,8,2,3,3,1,1,8,10,2,3,8,3,3,1,3,3,8,3
608162,608061,5,3,1,1,1,1,1,-0.60227679,-0.514416393,-2.19286765,-1.554177385,-0.909705261,-0.328074889,0.657512445,5,8,6,5,5,5,5,2,9,10,8,6,6,7,7,6,6,7,10,5
608162,608061,5,3,1,1,1,2,1,0.852455003,-0.131501206,0.467427523,-0.097466188,-0.898664468,-0.397080964,-1.203891202,10,7,5,1,1,10,8,3,5,6,8,8,4,8,1,1,1,2,1,1
608162,608061,5,3,1,1,1,1,1,-0.314659175,-0.27927429,0.200838762,0.066775583,-0.664663794,-0.40659723,1.217944903,5,10,5,5,1,3,10,1,5,8,8,8,5,5,8,1,1,5,10,10
608162,608061,5,3,1,1,1,2,1,0.852455003,0.636093917,-0.403342238,-0.267267391,0.822032085,1.056835411,1.093010686,1,2,9,5,1,3,8,2,7,8,5,6,4,8,4,9,9,7,6,8
608162,608061,5,3,1,1,1,2,1,0.074923171,1.24818042,1.050400438,1.491194156,0.054608088,-0.057114136,0.551591598,10,10,10,10,5,9,9,1,10,10,9,5,5,5,10,10,5,10,9,4
608162,608061,5,3,1,1,1,2,2,0.216039345,0.136077186,-1.703703089,-0.388229405,-0.548327928,-0.757377417,-0.944745158,3,7,9,8,8,8,8,3,3,3,4,3,4,3,3,3,4,2,4,1
608162,608061,5,3,1,1,1,1,1,0.873377041,0.780877782,1.416402078,-0.516448232,-0.865777334,-0.900835328,0.266578184,10,3,9,1,1,10,9,3,9,9,9,8,1,9,9,1,9,2,8,1
608162,608061,5,3,1,1,2,2,1,0.810724961,0.183281193,0.33971386,0.11695822,-1.035092719,-1.019388513,-0.876337396,7,5,6,1,10,5,1,1,10,10,5,10,10,10,10,1,1,1,5,2
608162,608061,5,3,1,1,1,2,1,-0.170850368,0.443448978,-0.611851217,0.398709574,-0.118052095,0.122023742,0.148152982,10,5,7,6,4,5,5,2,6,8,3,2,8,8,8,4,2,4,6,3
608162,608061,5,3,1,1,1,2,1,0.093152575,1.006347389,-0.652500223,0.037367102,1.784771095,2.419210959,1.72139841,9,8,7,7,6,9,6,1,7,7,6,10,10,7,9,5,8,9,3,10
608162,608061,5,3,1,1,1,2,1,-0.458467983,1.140372613,0.171605407,-0.760990958,1.877829331,1.51612947,1.480004894,7,7,7,5,5,5,5,1,5,5,7,5,5,5,7,10,10,10,10,5
608162,608061,5,3,1,1,1,1,1,0.358028965,0.143613861,1.414900093,0.440716074,-0.929023689,-1.236659524,0.541401721,9,6,1,10,1,10,10,1,9,9,7,10,8,6,1,1,1,1,8,7
608162,608061,5,3,1,1,1,2,1,0.358974705,1.57361538,1.200273186,1.484324757,2.186599322,2.12367247,0.353702574,8,8,8,1,1,10,8,2,10,10,8,8,5,5,5,10,5,10,5,5
608162,608061,5,3,1,1,1,1,1,-1.358886584,1.605230258,1.573435963,0.002430208,-0.989452591,-0.627252329,-0.83912042,8,9,10,1,1,7,5,3,10,10,9,7,1,1,1,1,1,1,1,1
